chembl_id,smiles
CHEMBL1096,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
CHEMBL572,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
CHEMBL891,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
CHEMBL1382,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
CHEMBL1349,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
CHEMBL2104993,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
CHEMBL1532,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
CHEMBL1200340,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O
CHEMBL75435,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
CHEMBL564085,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O
CHEMBL806,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL277100,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
CHEMBL24171,COc1c2ccoc2cc2oc(=O)ccc12
CHEMBL1378,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
CHEMBL285802,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
CHEMBL3989715,C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O.C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O.O.O.[Ca+2]
CHEMBL1537,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL334966,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O
CHEMBL1200813,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl
CHEMBL325109,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
CHEMBL1447,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1
CHEMBL1241951,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
CHEMBL1241,CN(C)CCN(Cc1ccccc1)c1ccccn1
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL1161,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
CHEMBL1201733,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl
CHEMBL645,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
CHEMBL1682,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
